Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/01/2013,670780212,SAU Ste Anne,2,27,1,30,0,5,0
02/01/2013,670780212,SAU Ste Anne,0,30,6,36,0,7,0
03/01/2013,670780212,SAU Ste Anne,2,26,5,33,0,9,0
04/01/2013,670780212,SAU Ste Anne,1,25,6,32,0,8,1
05/01/2013,670780212,SAU Ste Anne,1,28,4,33,0,7,1
06/01/2013,670780212,SAU Ste Anne,0,28,3,31,0,4,0
07/01/2013,670780212,SAU Ste Anne,0,38,9,0,0,9,2
08/01/2013,670780212,SAU Ste Anne,0,33,5,38,0,9,0
09/01/2013,670780212,SAU Ste Anne,0,28,7,35,0,10,1
10/01/2013,670780212,SAU Ste Anne,1,35,2,38,0,4,0
11/01/2013,670780212,SAU Ste Anne,0,40,3,43,0,4,1
12/01/2013,670780212,SAU Ste Anne,4,39,3,46,0,3,0
13/01/2013,670780212,SAU Ste Anne,0,36,6,42,0,6,0
14/01/2013,670780212,SAU Ste Anne,1,24,3,28,0,3,0
15/01/2013,670780212,SAU Ste Anne,1,33,6,40,0,7,0
16/01/2013,670780212,SAU Ste Anne,0,32,2,34,0,7,0
17/01/2013,670780212,SAU Ste Anne,2,30,7,39,0,8,0
18/01/2013,670780212,SAU Ste Anne,1,37,3,41,0,8,1
19/01/2013,670780212,SAU Ste Anne,2,39,4,45,0,12,0
20/01/2013,670780212,SAU Ste Anne,1,43,6,50,0,5,0
21/01/2013,670780212,SAU Ste Anne,0,63,2,65,0,11,0
22/01/2013,670780212,SAU Ste Anne,0,34,12,46,0,8,2
23/01/2013,670780212,SAU Ste Anne,0,29,7,36,0,7,0
24/01/2013,670780212,SAU Ste Anne,2,33,4,39,0,9,0
25/01/2013,670780212,SAU Ste Anne,0,34,9,43,0,8,0
26/01/2013,670780212,SAU Ste Anne,2,38,1,41,0,5,0
27/01/2013,670780212,SAU Ste Anne,2,37,3,42,0,8,0
28/01/2013,670780212,SAU Ste Anne,1,41,5,47,0,9,0
29/01/2013,670780212,SAU Ste Anne,0,32,4,36,0,11,0
30/01/2013,670780212,SAU Ste Anne,1,32,4,37,0,8,0
31/01/2013,670780212,SAU Ste Anne,0,31,3,34,0,5,1
