Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/03/2013,670780212,SAU Ste Anne,0,31,5,36,0,11,0
02/03/2013,670780212,SAU Ste Anne,2,37,3,42,0,3,0
03/03/2013,670780212,SAU Ste Anne,2,46,2,50,0,11,0
04/03/2013,670780212,SAU Ste Anne,0,36,9,45,0,4,0
05/03/2013,670780212,SAU Ste Anne,3,31,4,38,0,3,0
06/03/2013,670780212,SAU Ste Anne,1,41,8,50,0,10,0
07/03/2013,670780212,SAU Ste Anne,1,30,2,33,0,5,0
08/03/2013,670780212,SAU Ste Anne,0,33,5,38,0,11,0
09/03/2013,670780212,SAU Ste Anne,1,46,5,52,0,12,0
10/03/2013,670780212,SAU Ste Anne,0,42,5,47,0,9,0
11/03/2013,670780212,SAU Ste Anne,3,32,7,42,0,4,0
12/03/2013,670780212,SAU Ste Anne,1,32,2,35,0,6,0
13/03/2013,670780212,SAU Ste Anne,1,29,6,36,0,11,0
14/03/2013,670780212,SAU Ste Anne,0,26,4,30,0,5,0
15/03/2013,670780212,SAU Ste Anne,0,33,2,35,0,3,0
16/03/2013,670780212,SAU Ste Anne,6,35,6,47,0,12,0
17/03/2013,670780212,SAU Ste Anne,2,43,7,52,0,9,0
18/03/2013,670780212,SAU Ste Anne,0,34,6,40,0,6,0
19/03/2013,670780212,SAU Ste Anne,1,62,6,69,0,15,0
20/03/2013,670780212,SAU Ste Anne,0,30,2,32,0,4,0
21/03/2013,670780212,SAU Ste Anne,1,36,8,45,0,11,0
22/03/2013,670780212,SAU Ste Anne,2,37,8,47,0,10,0
23/03/2013,670780212,SAU Ste Anne,2,31,5,38,0,7,0
24/03/2013,670780212,SAU Ste Anne,1,37,4,42,0,3,0
25/03/2013,670780212,SAU Ste Anne,0,38,4,42,0,9,0
26/03/2013,670780212,SAU Ste Anne,0,24,8,32,0,6,0
27/03/2013,670780212,SAU Ste Anne,0,32,3,35,0,6,1
28/03/2013,670780212,SAU Ste Anne,1,25,5,31,0,4,2
29/03/2013,670780212,SAU Ste Anne,2,42,2,46,0,6,0
30/03/2013,670780212,SAU Ste Anne,1,37,6,44,0,4,2
31/03/2013,670780212,SAU Ste Anne,3,30,9,42,0,7,1
