Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/02/2013,670780212,SAU Ste Anne,3,33,5,41,0,9,0
02/02/2013,670780212,SAU Ste Anne,1,40,10,51,0,9,0
03/02/2013,670780212,SAU Ste Anne,2,35,5,42,0,5,0
04/02/2013,670780212,SAU Ste Anne,1,35,9,45,0,7,0
05/02/2013,670780212,SAU Ste Anne,0,32,1,33,0,2,0
06/02/2013,670780212,SAU Ste Anne,1,56,5,62,0,10,0
07/02/2013,670780212,SAU Ste Anne,1,37,5,43,0,8,0
08/02/2013,670780212,SAU Ste Anne,1,34,6,41,0,11,0
09/02/2013,670780212,SAU Ste Anne,0,32,1,33,0,3,0
10/02/2013,670780212,SAU Ste Anne,0,43,7,50,0,8,0
11/02/2013,670780212,SAU Ste Anne,0,39,11,50,0,15,0
12/02/2013,670780212,SAU Ste Anne,0,34,1,35,0,6,1
13/02/2013,670780212,SAU Ste Anne,1,40,7,48,0,13,0
14/02/2013,670780212,SAU Ste Anne,1,25,4,30,0,5,0
15/02/2013,670780212,SAU Ste Anne,0,42,3,45,0,8,0
16/02/2013,670780212,SAU Ste Anne,2,43,7,52,0,4,0
17/02/2013,670780212,SAU Ste Anne,1,38,3,42,0,9,0
18/02/2013,670780212,SAU Ste Anne,0,29,7,36,0,7,0
19/02/2013,670780212,SAU Ste Anne,1,31,3,35,0,7,0
20/02/2013,670780212,SAU Ste Anne,1,35,3,39,0,8,0
21/02/2013,670780212,SAU Ste Anne,0,30,7,37,0,8,0
22/02/2013,670780212,SAU Ste Anne,1,31,4,36,0,5,0
23/02/2013,670780212,SAU Ste Anne,1,31,3,35,0,7,0
24/02/2013,670780212,SAU Ste Anne,1,32,7,40,0,9,0
25/02/2013,670780212,SAU Ste Anne,1,24,6,31,0,8,0
26/02/2013,670780212,SAU Ste Anne,1,33,6,40,0,8,0
27/02/2013,670780212,SAU Ste Anne,1,31,8,40,0,9,0
28/02/2013,670780212,SAU Ste Anne,0,26,3,29,0,10,0
