Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/05/2013,670780212,SAU Ste Anne,1,39,2,42,0,4,1
02/05/2013,670780212,SAU Ste Anne,0,40,2,42,0,6,0
03/05/2013,670780212,SAU Ste Anne,0,37,5,42,0,5,0
04/05/2013,670780212,SAU Ste Anne,1,48,5,54,0,6,0
05/05/2013,670780212,SAU Ste Anne,1,39,1,41,0,6,2
06/05/2013,670780212,SAU Ste Anne,1,48,5,54,0,6,0
07/05/2013,670780212,SAU Ste Anne,0,37,3,40,0,6,0
08/05/2013,670780212,SAU Ste Anne,2,54,4,60,0,5,1
09/05/2013,670780212,SAU Ste Anne,1,39,5,45,0,7,0
10/05/2013,670780212,SAU Ste Anne,0,42,9,51,0,9,1
11/05/2013,670780212,SAU Ste Anne,0,39,3,42,0,7,1
12/05/2013,670780212,SAU Ste Anne,1,34,2,37,0,3,0
13/05/2013,670780212,SAU Ste Anne,0,38,2,40,0,5,0
14/05/2013,670780212,SAU Ste Anne,1,43,0,44,0,9,2
15/05/2013,670780212,SAU Ste Anne,0,30,4,34,0,6,1
16/05/2013,670780212,SAU Ste Anne,3,38,4,45,0,8,3
17/05/2013,670780212,SAU Ste Anne,1,24,3,28,0,5,2
18/05/2013,670780212,SAU Ste Anne,0,34,4,38,0,6,0
19/05/2013,670780212,SAU Ste Anne,1,26,3,30,0,4,0
20/05/2013,670780212,SAU Ste Anne,1,40,3,44,0,5,1
21/05/2013,670780212,SAU Ste Anne,0,32,3,35,0,7,1
22/05/2013,670780212,SAU Ste Anne,0,24,3,27,0,3,1
23/05/2013,670780212,SAU Ste Anne,1,22,6,29,0,5,2
24/05/2013,670780212,SAU Ste Anne,1,34,7,42,0,14,0
25/05/2013,670780212,SAU Ste Anne,0,32,4,36,0,6,1
26/05/2013,670780212,SAU Ste Anne,0,28,4,32,0,4,3
27/05/2013,670780212,SAU Ste Anne,0,42,1,43,0,7,2
28/05/2013,670780212,SAU Ste Anne,0,35,6,41,0,8,0
29/05/2013,670780212,SAU Ste Anne,0,40,8,48,0,6,1
30/05/2013,670780212,SAU Ste Anne,0,38,3,41,0,6,1
31/05/2013,670780212,SAU Ste Anne,2,43,6,51,0,9,0
