Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/06/2013,670780212,SAU Ste Anne,1,32,5,38,0,7,0
02/06/2013,670780212,SAU Ste Anne,0,32,2,34,0,3,0
03/06/2013,670780212,SAU Ste Anne,0,45,4,49,0,6,0
04/06/2013,670780212,SAU Ste Anne,0,41,7,48,0,6,3
05/06/2013,670780212,SAU Ste Anne,0,29,7,36,0,6,1
06/06/2013,670780212,SAU Ste Anne,0,42,4,46,0,7,1
07/06/2013,670780212,SAU Ste Anne,0,40,3,43,0,3,1
08/06/2013,670780212,SAU Ste Anne,0,39,2,41,0,6,3
09/06/2013,670780212,SAU Ste Anne,1,50,5,56,0,7,1
10/06/2013,670780212,SAU Ste Anne,0,45,2,47,0,7,0
11/06/2013,670780212,SAU Ste Anne,0,29,3,32,0,5,2
12/06/2013,670780212,SAU Ste Anne,0,33,3,36,0,5,1
13/06/2013,670780212,SAU Ste Anne,0,33,8,41,0,8,1
14/06/2013,670780212,SAU Ste Anne,0,24,2,26,0,4,0
15/06/2013,670780212,SAU Ste Anne,2,38,5,45,0,8,1
16/06/2013,670780212,SAU Ste Anne,0,38,4,42,0,8,2
17/06/2013,670780212,SAU Ste Anne,1,47,0,48,0,7,0
18/06/2013,670780212,SAU Ste Anne,1,35,0,36,0,4,0
19/06/2013,670780212,SAU Ste Anne,0,28,6,34,0,6,0
20/06/2013,670780212,SAU Ste Anne,0,46,8,54,0,10,0
21/06/2013,670780212,SAU Ste Anne,0,35,9,44,0,7,0
22/06/2013,670780212,SAU Ste Anne,2,45,7,54,0,8,4
23/06/2013,670780212,SAU Ste Anne,1,41,7,49,0,9,1
24/06/2013,670780212,SAU Ste Anne,0,34,3,37,0,5,1
25/06/2013,670780212,SAU Ste Anne,1,21,4,26,0,6,2
26/06/2013,670780212,SAU Ste Anne,0,36,0,36,0,2,0
27/06/2013,670780212,SAU Ste Anne,0,30,2,32,0,5,1
28/06/2013,670780212,SAU Ste Anne,0,18,8,26,0,8,0
29/06/2013,670780212,SAU Ste Anne,1,41,6,48,0,12,0
30/06/2013,670780212,SAU Ste Anne,3,23,7,33,0,6,0
