Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/08/2013,670780212,SAU Ste Anne,0,29,4,33,0,6,1
02/08/2013,670780212,SAU Ste Anne,1,28,12,41,0,12,2
03/08/2013,670780212,SAU Ste Anne,0,31,4,35,0,6,2
04/08/2013,670780212,SAU Ste Anne,1,31,2,34,0,2,0
05/08/2013,670780212,SAU Ste Anne,2,53,6,61,0,7,1
06/08/2013,670780212,SAU Ste Anne,0,23,10,33,0,9,0
07/08/2013,670780212,SAU Ste Anne,1,29,6,36,0,8,1
08/08/2013,670780212,SAU Ste Anne,1,26,6,33,0,6,2
09/08/2013,670780212,SAU Ste Anne,0,32,2,34,0,5,1
10/08/2013,670780212,SAU Ste Anne,2,33,2,37,0,10,0
11/08/2013,670780212,SAU Ste Anne,2,33,3,38,0,10,0
12/08/2013,670780212,SAU Ste Anne,1,33,7,41,0,7,1
13/08/2013,670780212,SAU Ste Anne,0,24,5,29,0,6,1
14/08/2013,670780212,SAU Ste Anne,0,34,5,39,0,6,1
15/08/2013,670780212,SAU Ste Anne,0,44,0,44,0,3,1
16/08/2013,670780212,SAU Ste Anne,2,40,5,47,0,9,1
17/08/2013,670780212,SAU Ste Anne,5,27,1,33,0,7,1
18/08/2013,670780212,SAU Ste Anne,0,28,1,29,0,3,2
19/08/2013,670780212,SAU Ste Anne,0,31,6,37,0,3,1
20/08/2013,670780212,SAU Ste Anne,2,32,7,41,0,9,0
21/08/2013,670780212,SAU Ste Anne,1,21,6,28,0,6,0
22/08/2013,670780212,SAU Ste Anne,1,28,6,35,0,3,0
23/08/2013,670780212,SAU Ste Anne,1,23,2,26,0,6,0
24/08/2013,670780212,SAU Ste Anne,0,25,7,32,0,4,0
25/08/2013,670780212,SAU Ste Anne,1,42,4,47,0,2,0
26/08/2013,670780212,SAU Ste Anne,0,23,1,24,0,0,0
27/08/2013,670780212,SAU Ste Anne,0,34,1,35,0,1,0
28/08/2013,670780212,SAU Ste Anne,0,39,4,43,0,3,1
29/08/2013,670780212,SAU Ste Anne,0,28,3,31,0,6,0
30/08/2013,670780212,SAU Ste Anne,1,33,7,41,0,7,1
31/08/2013,670780212,SAU Ste Anne,0,41,5,46,0,3,3
