Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/07/2013,670780212,SAU Ste Anne,0,43,2,45,0,2,0
02/07/2013,670780212,SAU Ste Anne,0,42,3,45,0,7,0
03/07/2013,670780212,SAU Ste Anne,0,21,8,29,0,5,0
04/07/2013,670780212,SAU Ste Anne,0,39,3,42,0,4,0
05/07/2013,670780212,SAU Ste Anne,2,29,6,37,0,8,0
06/07/2013,670780212,SAU Ste Anne,0,36,0,36,0,4,0
07/07/2013,670780212,SAU Ste Anne,0,46,8,54,0,6,0
08/07/2013,670780212,SAU Ste Anne,1,35,4,40,0,8,2
09/07/2013,670780212,SAU Ste Anne,1,41,5,47,0,6,2
10/07/2013,670780212,SAU Ste Anne,0,31,5,36,0,7,4
11/07/2013,670780212,SAU Ste Anne,0,30,6,36,0,6,2
12/07/2013,670780212,SAU Ste Anne,2,41,6,49,0,7,0
13/07/2013,670780212,SAU Ste Anne,0,41,6,47,0,9,1
14/07/2013,670780212,SAU Ste Anne,0,26,4,30,0,2,0
15/07/2013,670780212,SAU Ste Anne,0,45,6,51,0,9,1
16/07/2013,670780212,SAU Ste Anne,1,32,4,37,0,7,0
17/07/2013,670780212,SAU Ste Anne,3,31,7,41,0,2,3
18/07/2013,670780212,SAU Ste Anne,1,31,4,36,0,7,1
19/07/2013,670780212,SAU Ste Anne,0,26,3,29,0,8,1
20/07/2013,670780212,SAU Ste Anne,0,40,2,42,0,3,2
21/07/2013,670780212,SAU Ste Anne,1,47,5,53,0,7,0
22/07/2013,670780212,SAU Ste Anne,0,26,3,29,0,6,0
23/07/2013,670780212,SAU Ste Anne,0,30,1,31,0,6,0
24/07/2013,670780212,SAU Ste Anne,0,41,3,44,0,2,1
25/07/2013,670780212,SAU Ste Anne,0,29,1,30,0,3,0
26/07/2013,670780212,SAU Ste Anne,0,44,6,50,0,5,0
27/07/2013,670780212,SAU Ste Anne,2,36,2,40,0,4,0
28/07/2013,670780212,SAU Ste Anne,1,31,3,35,0,3,0
29/07/2013,670780212,SAU Ste Anne,0,39,5,44,0,7,1
30/07/2013,670780212,SAU Ste Anne,0,37,4,41,0,3,2
31/07/2013,670780212,SAU Ste Anne,0,29,5,34,0,6,2
