Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/12/2013,670780212,SAU Ste Anne,1,36,2,39,0,2,3
02/12/2013,670780212,SAU Ste Anne,4,28,6,38,0,9,1
03/12/2013,670780212,SAU Ste Anne,2,42,2,46,0,5,1
04/12/2013,670780212,SAU Ste Anne,6,21,2,29,0,3,1
05/12/2013,670780212,SAU Ste Anne,0,26,4,30,0,4,0
06/12/2013,670780212,SAU Ste Anne,0,24,3,27,0,6,0
07/12/2013,670780212,SAU Ste Anne,0,34,6,40,0,7,1
08/12/2013,670780212,SAU Ste Anne,1,31,1,33,0,3,1
09/12/2013,670780212,SAU Ste Anne,1,43,3,47,0,8,2
10/12/2013,670780212,SAU Ste Anne,0,26,6,32,0,9,1
11/12/2013,670780212,SAU Ste Anne,1,33,5,39,0,5,0
12/12/2013,670780212,SAU Ste Anne,1,21,2,24,0,6,0
13/12/2013,670780212,SAU Ste Anne,0,31,4,35,0,2,0
14/12/2013,670780212,SAU Ste Anne,0,39,4,43,0,5,1
15/12/2013,670780212,SAU Ste Anne,3,36,4,43,0,4,2
16/12/2013,670780212,SAU Ste Anne,0,37,5,42,0,1,2
17/12/2013,670780212,SAU Ste Anne,0,26,2,28,0,6,1
18/12/2013,670780212,SAU Ste Anne,0,52,4,56,0,14,1
19/12/2013,670780212,SAU Ste Anne,0,44,3,47,0,8,1
20/12/2013,670780212,SAU Ste Anne,0,48,2,50,0,6,1
21/12/2013,670780212,SAU Ste Anne,2,46,5,53,0,10,0
22/12/2013,670780212,SAU Ste Anne,1,39,3,43,0,0,0
23/12/2013,670780212,SAU Ste Anne,1,41,5,47,0,7,3
24/12/2013,670780212,SAU Ste Anne,3,27,7,37,0,4,1
25/12/2013,670780212,SAU Ste Anne,2,37,3,42,0,3,1
26/12/2013,670780212,SAU Ste Anne,2,52,3,57,0,7,1
27/12/2013,670780212,SAU Ste Anne,0,42,8,50,0,7,2
28/12/2013,670780212,SAU Ste Anne,6,40,7,53,0,12,1
29/12/2013,670780212,SAU Ste Anne,4,32,4,40,0,4,1
30/12/2013,670780212,SAU Ste Anne,1,34,2,37,0,3,2
31/12/2013,670780212,SAU Ste Anne,1,24,5,30,0,5,2
