Date,Organisme,Service,REPARTITION PAR ÂGE,,,"Total
 passages",Hospitalisés,UHCD,Transferts directs
,,,<1an,1 à 75 ans,>75ans,,,,
01/09/2013,670780212,SAU Ste Anne,0,36,4,40,0,3,0
02/09/2013,670780212,SAU Ste Anne,0,31,5,36,0,6,1
03/09/2013,670780212,SAU Ste Anne,0,24,1,25,0,1,0
04/09/2013,670780212,SAU Ste Anne,1,36,5,42,0,9,0
05/09/2013,670780212,SAU Ste Anne,0,35,7,42,0,6,1
06/09/2013,670780212,SAU Ste Anne,0,29,5,34,0,4,0
07/09/2013,670780212,SAU Ste Anne,2,33,4,39,0,3,0
08/09/2013,670780212,SAU Ste Anne,1,38,3,42,0,2,0
09/09/2013,670780212,SAU Ste Anne,0,32,3,35,0,4,1
10/09/2013,670780212,SAU Ste Anne,0,44,5,49,0,8,1
11/09/2013,670780212,SAU Ste Anne,0,27,2,29,0,3,2
12/09/2013,670780212,SAU Ste Anne,0,26,5,31,0,5,1
13/09/2013,670780212,SAU Ste Anne,1,35,1,37,0,6,0
14/09/2013,670780212,SAU Ste Anne,1,34,6,41,0,5,4
15/09/2013,670780212,SAU Ste Anne,1,44,3,48,0,1,0
16/09/2013,670780212,SAU Ste Anne,0,44,4,48,0,4,1
17/09/2013,670780212,SAU Ste Anne,1,37,5,43,0,7,1
18/09/2013,670780212,SAU Ste Anne,0,32,7,39,0,7,0
19/09/2013,670780212,SAU Ste Anne,0,30,3,33,0,3,2
20/09/2013,670780212,SAU Ste Anne,0,32,7,39,0,7,1
21/09/2013,670780212,SAU Ste Anne,0,35,3,38,0,5,1
22/09/2013,670780212,SAU Ste Anne,0,52,4,56,0,4,1
23/09/2013,670780212,SAU Ste Anne,0,38,3,41,0,8,0
24/09/2013,670780212,SAU Ste Anne,1,49,7,57,0,6,0
25/09/2013,670780212,SAU Ste Anne,0,43,7,50,0,8,0
26/09/2013,670780212,SAU Ste Anne,0,39,3,42,0,5,1
27/09/2013,670780212,SAU Ste Anne,0,19,3,22,0,2,1
28/09/2013,670780212,SAU Ste Anne,1,54,1,56,4,6,3
29/09/2013,670780212,SAU Ste Anne,0,41,0,41,0,4,1
30/09/2013,670780212,SAU Ste Anne,2,42,3,47,0,7,1
